Eesti üldapteekide vastavus 01.04.2020 rakenduvatele apteegireformi nõuetele;;;;;;;;;;;
Seisuga 01.01.2020 (Ravimiameti inspektsiooniosakond);;;;;;;;;;;
Tegutsemiskoha kood;Apteegi nimetus;Aadress;Tegevusloa omaja;VASTAVUS NÕUETELE;Värv kaardil;Põhiapteek/haruapteek;Maakond;ASUKOHT;;;
2022;Jõhvi Apteek HA1;Ida-Viru maakond Kohtla-Järve linn Ahtme linnaosa Estonia pst 30a;OSAÜHING JÕHVI APTEEK;Ei;Kollane;Haruapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1411;Jõhvi Euroapteek;Ida-Viru maakond Jõhvi vald Jõhvi linn Rakvere tn 29;OÜ PharmaThree;Jah;Roheline;Põhiapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1437;Jõhvi Grossi Keskuse Apteek ;Ida-Viru maakond Jõhvi vald Jõhvi linn Tartu mnt 15a;OÜ KONVALLARIA;Jah;Roheline;Põhiapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
316;Jõhvi Keskväljaku Apteek;Ida-Viru maakond Jõhvi vald Jõhvi linn Keskväljak 4;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2064;Jõhvi Keskväljaku Apteek HA1;Ida-Viru maakond Jõhvi vald Jõhvi linn Narva mnt 4b;Terve Pere Apteek OÜ;Ei;Punane;Haruapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
127;Järva-Jaani Apteek;Järva maakond Järva-Jaani vald Järva-Jaani alev Kase tn 1;osaühing Järva-Jaani Apteek;Jah;Roheline;Põhiapteek;Järva maakond;Maal;;;
145;Järve Selveri Apteek;Harju maakond Tallinn Nõmme linnaosa Pärnu mnt 238;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
288;Järveküla Apteek;Ida-Viru maakond Kohtla-Järve linn Järve linnaosa Järveküla tee 62b;Kohtla-Järve Järveküla Apteek OÜ ;Jah;Roheline;Põhiapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1402;Järveotsa Apteek;Harju maakond Tallinn Haabersti linnaosa Õismäe tee 107;Marja Apteek OÜ;Jah;Roheline;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1329;Jüri Tänava Südameapteek;Võru maakond - Võru linn Jüri tn 15;Pharma Group OÜ;Ei;Punane;Põhiapteek;Võru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
20;Kaarli Apteek;Harju maakond Tallinn Kesklinna linnaosa Kaarli pst 11;osaühing Pharmal;Ei;Kollane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2150;Kaarli Apteek HA1;Harju maakond Harku vald Tabasalu alevik Klooga mnt 10b;osaühing Pharmal;Ei;Kollane;Haruapteek;Harju maakond;Maal;;;
2285;Kaarli Apteek HA2;Harju maakond Harku vald Muraste küla Lee tee 1;osaühing Pharmal;Ei;Kollane;Haruapteek;Harju maakond;Maal;;;
291;Kadaka Selveri Apteek;Harju maakond Tallinn Mustamäe linnaosa Kadaka tee 56a;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1472;Kagukeskuse Südameapteek;Võru maakond Võru linn Kooli tn 6;Võro Aptiik OÜ;Jah;Roheline;Põhiapteek;Võru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
303;Kajaka Apteek;Ida-Viru maakond - Sillamäe linn Kajaka tn 9;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1352;Kakumäe Selveri Südameapteek;Harju maakond Tallinn Haabersti linnaosa Rannamõisa tee 6;Pharma Group OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
5;Kalamaja Apteek;Harju maakond Tallinn Põhja-Tallinna linnaosa Kotzebue tn 9;AS Remedium Kalamaja Apteek;Jah;Roheline;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2112;Kalamaja Apteek HA1;Harju maakond Tallinn Põhja-Tallinna linnaosa Paldiski mnt 62;AS Remedium Kalamaja Apteek;Ei;Kollane;Haruapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
156;Kallaste Apteek;Tartu maakond - Kallaste linn Oja tn 17;Malle Hilpuse Kallaste Apteek;Jah;Roheline;Põhiapteek;Tartu maakond;Alla 4000 elanikuga linnas;;;
2051;Kallaste Apteek HA1;Tartu maakond Peipsiääre vald Koosa küla ;Malle Hilpuse Kallaste Apteek;Jah;Roheline;Haruapteek;Tartu maakond;Maal;;;
2182;Kallaste Apteek HA2;Tartu maakond Peipsiääre vald Pala küla ;Malle Hilpuse Kallaste Apteek;Jah;Roheline;Haruapteek;Tartu maakond;Maal;;;
198;Kallavere Apteek;Harju maakond - Maardu linn Noorte tn 7;OÜ PharmaFour;Jah;Roheline;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
163;Kambja Apteek;Tartu maakond Kambja vald Kambja alevik Aia tn 2;Jana Esko Kambja Apteek;Jah;Roheline;Põhiapteek;Tartu maakond;Maal;;;
2257;Kambja Apteek HA1;Põlva maakond Kanepi vald Saverna küla Kooli tee 5;Jana Esko Kambja Apteek;Jah;Roheline;Haruapteek;Põlva maakond;Maal;;;
182;Kanepi Apteek;Põlva maakond Kanepi vald Kanepi alevik Turu tn 1;osaühing SAVERNA APTEEK;Jah;Roheline;Põhiapteek;Põlva maakond;Maal;;;
1449;Kannikese Apteek;Ida-Viru maakond - Sillamäe linn V. Tðkalovi tn 3;OÜ KONVALLARIA;Jah;Roheline;Põhiapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1425;Kantremaa Apteek;Viljandi maakond - Viljandi linn Vaksali tn 11a;OÜ Kantremaa Apteek;Jah;Roheline;Põhiapteek;Viljandi maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
98;Karete Apteek;Tartu maakond - Tartu linn Jalaka tn 34;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2123;Karete Apteek HA1;Tartu maakond - Tartu linn Vitamiini tn 1;Terve Pere Apteek OÜ;Ei;Punane;Haruapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
109;Karksi-Nuia Apteek;Viljandi maakond Mulgi vald Karksi-Nuia linn Kalda tn 6b;OÜ Akemal;Jah;Roheline;Põhiapteek;Viljandi maakond;Alla 4000 elanikuga linnas;;;
2347;Karksi-Nuia Apteek HA2;Viljandi maakond - Mõisaküla linn Pärnu tn 43;OÜ Akemal;Jah;Roheline;Haruapteek;Viljandi maakond;Alla 4000 elanikuga linnas;;;
279;Kastani Apteek;Tartu maakond - Tartu linn Lembitu tn 2;osaühing KASTANI APTEEK;Jah;Roheline;Põhiapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1309;Kaubamaja Apteek;Harju maakond Tallinn Kesklinna linnaosa Gonsiori tn 2;OÜ Jasmin Apteegid;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2156;Kaubamaja Apteek HA1;Harju maakond Tallinn Kristiine linnaosa Endla tn 45;OÜ Jasmin Apteegid;Ei;Punane;Haruapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2288;Kaubamaja Apteek HA2;Harju maakond Viimsi vald Haabneeme alevik Randvere tee 6;OÜ Jasmin Apteegid;Ei;Punane;Haruapteek;Harju maakond;Maal;;;
28;Kehra Linnaapteek;Harju maakond Anija vald Kehra linn F. R. Kreutzwaldi tn 7;Kehra Linnaapteegi Osaühing;Jah;Roheline;Põhiapteek;Harju maakond;Alla 4000 elanikuga linnas;;;
227;Keila Apteek;Harju maakond - Keila linn Jaama tn 11;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
25;Keila Raeapteek;Harju maakond - Keila linn Keskväljak 5;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2251;Keila Raeapteek HA2;Harju maakond - Keila linn Piiri tn 12;Terve Pere Apteek OÜ;Ei;Punane;Haruapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1407;Keila Rõõmu Apteek;Harju maakond - Keila linn Haapsalu mnt 57b;OÜ Pharmandia;Jah;Roheline;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
